,New Code,OP,Description,Concatenated
2500,OP1118,Designate individual in charge of access to documents,,Designate individual in charge of access to documents 
2501,OP1119,Designate individual in charge of protecting personal information,Assigning and officially designating a person to be in charge of the protection of personal information held whithin the organisation,Designate individual in charge of protecting personal information Assigning and officially designating a person to be in charge of the protection of personal information held whithin the organisation
2502,OP1120,Publish designated individual's title and contact information on website,"Publishing the information and contact of the person in charge of the protection of personal information held whithin the organisation on the company's website, and/or making available by other means to the general public","Publish designated individual's title and contact information on website Publishing the information and contact of the person in charge of the protection of personal information held whithin the organisation on the company's website, and/or making available by other means to the general public"
2503,OP1121,Notify supervisory authority of contact info of designated individuals,,Notify supervisory authority of contact info of designated individuals 
2504,OP1122,Define security measures for PI protection,"Definition of mechanisms to: 
 ▪ Physically control and securely store personal information within controlled areas using organization-defined security measures; and
 ▪ Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures.","Define security measures for PI protection Definition of mechanisms to: 
 ▪ Physically control and securely store personal information within controlled areas using organization-defined security measures; and
 ▪ Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures."
2505,OP1123,Monitor PI protection throughout lifecycle,Definition and enforcement of monitoring mechanisms to monitor PI security measures throughout the PI lifecycle,Monitor PI protection throughout lifecycle Definition and enforcement of monitoring mechanisms to monitor PI security measures throughout the PI lifecycle
2506,OP1124,"Demonstrate that security measures are relevant for the sensitivity, quantity & distribution of PI",Capability to review and ensure that PI security measures assessments have been conducted where and when required based on asset criticality and the sensitivity of the data.,"Demonstrate that security measures are relevant for the sensitivity, quantity & distribution of PI Capability to review and ensure that PI security measures assessments have been conducted where and when required based on asset criticality and the sensitivity of the data."
2507,OP2799,Determine required level of security measures for Personal Information protection,"Determining the appropriate security measures that need to be implemented, given the type of Personal Information and the risk assessment, in accordance with industry best practices and applicable laws and regulations","Determine required level of security measures for Personal Information protection Determining the appropriate security measures that need to be implemented, given the type of Personal Information and the risk assessment, in accordance with industry best practices and applicable laws and regulations"
2508,OP1125,Implement training and awareness activities regarding PI protection to personnel,,Implement training and awareness activities regarding PI protection to personnel 
2509,OP1126,Publish description of security training offered to employees on website,,Publish description of security training offered to employees on website 
2510,OP1127,Define roles and responsibilities for the monitoring of PI security measures,Establishment of a matrix that defines those parties that are responsible for monitoring PI seacurity measures,Define roles and responsibilities for the monitoring of PI security measures Establishment of a matrix that defines those parties that are responsible for monitoring PI seacurity measures
2511,OP1128,Communicate roles & responsibilities for monitoring security measures,"Process, responsibilities and tools definition and enforcement for communicating PI security measures monitoring across the organization","Communicate roles & responsibilities for monitoring security measures Process, responsibilities and tools definition and enforcement for communicating PI security measures monitoring across the organization"
2512,OP1129,Assess effectiveness of security measures for PI,Capability to ensure that a Security measures assessment regarding PI is conducted when defining a new process or modifying an existing process using personal data ,Assess effectiveness of security measures for PI Capability to ensure that a Security measures assessment regarding PI is conducted when defining a new process or modifying an existing process using personal data 
2513,OP1130,Enhance security measures for the protection of PI,Definition and enforcement of mechanisms to ensure that PI security measures are improved following the results of an assessment if need to be,Enhance security measures for the protection of PI Definition and enforcement of mechanisms to ensure that PI security measures are improved following the results of an assessment if need to be
2514,OP1131,Monitor PI security measures,Establishing monitring of the measures delpoyed to ensure the security of personal information to evaluate their performance and effectiveness,Monitor PI security measures Establishing monitring of the measures delpoyed to ensure the security of personal information to evaluate their performance and effectiveness
2515,OP2228,Assess the necessity of data masking,"When dealing with sensitive and/or private data, it is important to decide the type and level of data protection required, and that applies to both the input and output data","Assess the necessity of data masking When dealing with sensitive and/or private data, it is important to decide the type and level of data protection required, and that applies to both the input and output data"
2516,OP1132,Define pseudonymisation / de-identification guidelines,Definition of de-identification requirements,Define pseudonymisation / de-identification guidelines Definition of de-identification requirements
2517,OP1133,Pseudonymise / De-identify personal information,Establishment of a capability to anonymize personal information,Pseudonymise / De-identify personal information Establishment of a capability to anonymize personal information
2518,OP1134,Attest that pseudonymised PI is not identifiable without additional information ,Definition and enforcement of a process for assessing and demonstrating that anonymized personal information is not identifiable without additional information,Attest that pseudonymised PI is not identifiable without additional information  Definition and enforcement of a process for assessing and demonstrating that anonymized personal information is not identifiable without additional information
2519,OP1135,Monitor pseudonymised PI storage,Definition and enforcement of a process for assessing and demonstrating that anonymized personal information is not identifiable without additional information,Monitor pseudonymised PI storage Definition and enforcement of a process for assessing and demonstrating that anonymized personal information is not identifiable without additional information
2520,OP1896,Define access and data masking requirements,"For each data user role, based on usage needs versus data sensitivity and criticality level, define:
- The set of data elements which the user role needs to access, as well as the access type (i.e., read or write)
- The subset of data elements which must appear in cleartext (i.e., not masked) to each data user role","Define access and data masking requirements For each data user role, based on usage needs versus data sensitivity and criticality level, define:
- The set of data elements which the user role needs to access, as well as the access type (i.e., read or write)
- The subset of data elements which must appear in cleartext (i.e., not masked) to each data user role"
2521,OP1897,Design data masking solutions for in-scope data,Designing data masking solutions to properly protect data being used by the project at rest and in transit,Design data masking solutions for in-scope data Designing data masking solutions to properly protect data being used by the project at rest and in transit
2522,OP1898,Implement data masking solutions,"Implementing the necessary solutions & techniques to mask the data being used by the project (either through anonymization, pseudonymisation, encryption, etc.)","Implement data masking solutions Implementing the necessary solutions & techniques to mask the data being used by the project (either through anonymization, pseudonymisation, encryption, etc.)"
2523,OP1136,Define procedures to restore the availability and access to PI,Definition of resiliency mechanisms and procedures to ensure the availability of personal information in case of an event,Define procedures to restore the availability and access to PI Definition of resiliency mechanisms and procedures to ensure the availability of personal information in case of an event
2524,OP1137,Implement procedures to restore the availability and access to PI,Enforcement of resiliency mechanisms and procedures to ensure the availability of personal information in case of an event,Implement procedures to restore the availability and access to PI Enforcement of resiliency mechanisms and procedures to ensure the availability of personal information in case of an event
2525,OP1138,Audit the ability to restore the availability and access to PI periodically,Design and implementation of a process that audit periodically the compliance to the defined PI procedures for restoring the availability of PI in case of an event,Audit the ability to restore the availability and access to PI periodically Design and implementation of a process that audit periodically the compliance to the defined PI procedures for restoring the availability of PI in case of an event
2526,OP1139,(TBD),,(TBD) 
2527,OP1140,(TBD),,(TBD) 
2528,OP1141,(TBD),,(TBD) 
2529,OP1142,(TBD),,(TBD) 
2530,OP1143,(TBD),,(TBD) 
2531,OP1144,(TBD),,(TBD) 
2532,OP1145,(TBD),,(TBD) 
2533,OP1146,Brief access to protected information,,Brief access to protected information 
2534,OP1147,Attest that responsibility briefing for access to protected information has been made,,Attest that responsibility briefing for access to protected information has been made 
2535,OP1148,Manage anomalie and event detection,"Definition and enforcement of mechanisms to:
- detect and/or prevent intrusions into the network and critical systems
- detect unauthorized baseline configurations change(s)
","Manage anomalie and event detection Definition and enforcement of mechanisms to:
- detect and/or prevent intrusions into the network and critical systems
- detect unauthorized baseline configurations change(s)
"
2536,OP1149,Manage detected events,Automated mechanisms to implement remediation actions upon the detection of a security event,Manage detected events Automated mechanisms to implement remediation actions upon the detection of a security event
2537,OP1150,Establish incident alert thresholds,Definition of thresholds that are exceptable and unacceptable for generating an alert for a potential security incident,Establish incident alert thresholds Definition of thresholds that are exceptable and unacceptable for generating an alert for a potential security incident
2538,OP1151,Internal monitoring for potential cybersecurity events,"Definition and enforcement of mechanisms exist to maintain situational awareness of potential cybersecurity threats by leveraging the knowledge of attacker tactics, techniques and procedures to facilitate the implementation of preventative and compensating controls.","Internal monitoring for potential cybersecurity events Definition and enforcement of mechanisms exist to maintain situational awareness of potential cybersecurity threats by leveraging the knowledge of attacker tactics, techniques and procedures to facilitate the implementation of preventative and compensating controls."
2539,OP1152,Monitor external service provider activity for potential cybersecurity events,Definition and enforcement of mechanisms exist to review and monitor third-party activities for potential cybersecurity and privacy events,Monitor external service provider activity for potential cybersecurity events Definition and enforcement of mechanisms exist to review and monitor third-party activities for potential cybersecurity and privacy events
2540,OP1153,"Monitor for unauthorized personnel, connections, devices, and software","Definition and enforcement of mechanisms to monitor for unauthorized activities, accounts, connections, devices and software.","Monitor for unauthorized personnel, connections, devices, and software Definition and enforcement of mechanisms to monitor for unauthorized activities, accounts, connections, devices and software."
2541,OP1154,Execute vulnerability scans,"Definition and enforcement of mechanisms performing recurring vulnerability scanning of network, systems, accesses, sensitive data,…","Execute vulnerability scans Definition and enforcement of mechanisms performing recurring vulnerability scanning of network, systems, accesses, sensitive data,…"
2542,OP1155,Manage detection processes,"DE.DP-1, DE.DP-2, DE.DP-4, DE.DP-5","Manage detection processes DE.DP-1, DE.DP-2, DE.DP-4, DE.DP-5"
2543,OP1156,Test detection processes,Definition and enforcement of mechanisms for ensuring that organizational plans for conducting security and privacy testing are developed and performed.,Test detection processes Definition and enforcement of mechanisms for ensuring that organizational plans for conducting security and privacy testing are developed and performed.
2544,OP1157,Provide protection from malicious code at appropriate locations within organizational information systems,"Mechanisms to utilize antimalware technologies to detect and eradicate malicious code. Designated locations include system entry and exit points which may include firewalls,
 remote access servers, workstations, electronic mail servers, web servers, proxy servers,
 notebook computers, and mobile devices. Malicious code includes viruses, worms, Trojan
 horses, and spyware. Malicious code can be encoded in various formats (e.g., UUENCODE,
 Unicode), contained within compressed or hidden files, or hidden in files using techniques
 such as steganography. Malicious code can be inserted into systems in a variety of ways
 including web accesses, electronic mail, electronic mail attachments, and portable storage
 devices. Malicious code insertions occur through the exploitation of system vulnerabilities.
 Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. A variety of technologies and methods exist to limit or
 eliminate the effects of malicious code. Pervasive configuration management and
 comprehensive software integrity controls may be effective in preventing execution of
 unauthorized code. In addition to commercial off-the-shelf software, malicious code may
 also be present in custom-built software. This could include logic bombs, back doors, and
 other types of cyber-attacks that could affect organizational missions/business functions.
 Traditional malicious code protection mechanisms cannot always detect such code. In these
 situations, organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other than the functions
 intended. NIST SP 800-83 provides guidance on malware incident prevention.SI.1.211","Provide protection from malicious code at appropriate locations within organizational information systems Mechanisms to utilize antimalware technologies to detect and eradicate malicious code. Designated locations include system entry and exit points which may include firewalls,
 remote access servers, workstations, electronic mail servers, web servers, proxy servers,
 notebook computers, and mobile devices. Malicious code includes viruses, worms, Trojan
 horses, and spyware. Malicious code can be encoded in various formats (e.g., UUENCODE,
 Unicode), contained within compressed or hidden files, or hidden in files using techniques
 such as steganography. Malicious code can be inserted into systems in a variety of ways
 including web accesses, electronic mail, electronic mail attachments, and portable storage
 devices. Malicious code insertions occur through the exploitation of system vulnerabilities.
 Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. A variety of technologies and methods exist to limit or
 eliminate the effects of malicious code. Pervasive configuration management and
 comprehensive software integrity controls may be effective in preventing execution of
 unauthorized code. In addition to commercial off-the-shelf software, malicious code may
 also be present in custom-built software. This could include logic bombs, back doors, and
 other types of cyber-attacks that could affect organizational missions/business functions.
 Traditional malicious code protection mechanisms cannot always detect such code. In these
 situations, organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other than the functions
 intended. NIST SP 800-83 provides guidance on malware incident prevention.SI.1.211"
2545,OP1158,Update malicious code protection mechanisms when new releases are available,"Mechanisms to perform periodic evaluations evolving malware threats and update of existing protection mechanisms Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. A variety of technologies and methods exist to limit or
 eliminate the effects of malicious code. Pervasive configuration management and
 comprehensive software integrity controls may be effective in preventing execution of
 unauthorized code. In addition to commercial off-the-shelf software, malicious code may
 also be present in custom-built software. This could include logic bombs, back doors, and
 other types of cyber-attacks that could affect organizational missions/business functions.
 Traditional malicious code protection mechanisms cannot always detect such code. In these
 situations, organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other.SI.1.212","Update malicious code protection mechanisms when new releases are available Mechanisms to perform periodic evaluations evolving malware threats and update of existing protection mechanisms Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. A variety of technologies and methods exist to limit or
 eliminate the effects of malicious code. Pervasive configuration management and
 comprehensive software integrity controls may be effective in preventing execution of
 unauthorized code. In addition to commercial off-the-shelf software, malicious code may
 also be present in custom-built software. This could include logic bombs, back doors, and
 other types of cyber-attacks that could affect organizational missions/business functions.
 Traditional malicious code protection mechanisms cannot always detect such code. In these
 situations, organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other.SI.1.212"
2546,OP1159,"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed","Definition and enforcement of mechanisms performing recurring scans of files from external sources as files are downloaded, opened, or executed Periodic scans of organizational systems and real-time scans of files from external sources
 can detect malicious code. Malicious code can be encoded in various formats (e.g.,
 UUENCODE, Unicode), contained within compressed or hidden files, or hidden in files using
 techniques such as steganography. Malicious code can be inserted into systems in a variety
 of ways including web accesses, electronic mail, electronic mail attachments, and portable
 storage devices. Malicious code insertions occur through the exploitation of system
 vulnerabilities.
 Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. Many technologies and methods exist to limit or eliminate
 the effects of malicious code. Pervasive configuration management and comprehensive
 software integrity controls may be effective in preventing execution of unauthorized code.
 In addition to commercial off-the-shelf software, malicious code may also be present in
 custom-built software. This could include logic bombs, back doors, and other types of cyberattacks
 that could affect organizational missions/business functions. Traditional malicious
 code protection mechanisms cannot always detect such code. In these situations,
 organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other than the functions
 intended.SI.1.213","Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed Definition and enforcement of mechanisms performing recurring scans of files from external sources as files are downloaded, opened, or executed Periodic scans of organizational systems and real-time scans of files from external sources
 can detect malicious code. Malicious code can be encoded in various formats (e.g.,
 UUENCODE, Unicode), contained within compressed or hidden files, or hidden in files using
 techniques such as steganography. Malicious code can be inserted into systems in a variety
 of ways including web accesses, electronic mail, electronic mail attachments, and portable
 storage devices. Malicious code insertions occur through the exploitation of system
 vulnerabilities.
 Malicious code protection mechanisms include anti-virus signature definitions and
 reputation-based technologies. Many technologies and methods exist to limit or eliminate
 the effects of malicious code. Pervasive configuration management and comprehensive
 software integrity controls may be effective in preventing execution of unauthorized code.
 In addition to commercial off-the-shelf software, malicious code may also be present in
 custom-built software. This could include logic bombs, back doors, and other types of cyberattacks
 that could affect organizational missions/business functions. Traditional malicious
 code protection mechanisms cannot always detect such code. In these situations,
 organizations rely instead on other safeguards including secure coding practices,
 configuration management and control, trusted procurement processes, and monitoring
 practices to help ensure that software does not perform functions other than the functions
 intended.SI.1.213"
2547,OP1160,Analyze system behavior to detect and mitigate the execution of normal system commands and scripts that indicate malicious actions,"Definition and enforcement of mechanisms to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities. Organizations deploy preventive measures such as anti-virus or application whitelisting to
 reduce the effects of malware executables on endpoints. As the use of whitelisting becomes
 a more pervasive defense technique attackers are leveraging trusted operating systems
 software, scripts, or code to perform malicious activities including lateral movement and
 persistence. By using these tactics, the attacker seeks to reduce the chances of being
 discovered. This move to “living off the land” needs to be mitigated by analyzing the use and
 behavior of system commands and utilities.SI.5.222","Analyze system behavior to detect and mitigate the execution of normal system commands and scripts that indicate malicious actions Definition and enforcement of mechanisms to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities. Organizations deploy preventive measures such as anti-virus or application whitelisting to
 reduce the effects of malware executables on endpoints. As the use of whitelisting becomes
 a more pervasive defense technique attackers are leveraging trusted operating systems
 software, scripts, or code to perform malicious activities including lateral movement and
 persistence. By using these tactics, the attacker seeks to reduce the chances of being
 discovered. This move to “living off the land” needs to be mitigated by analyzing the use and
 behavior of system commands and utilities.SI.5.222"
2548,OP1161,Define process to signal security incidents,,Define process to signal security incidents 
2549,OP1162,Manage response plans,"Definition and enforcement of mechanisms to define, maintain and make available an Incident Response Plan (IRP) to all relevant stakeholders.","Manage response plans Definition and enforcement of mechanisms to define, maintain and make available an Incident Response Plan (IRP) to all relevant stakeholders."
2550,OP1163,Test response plans,Definition and enforcement of mechanisms for ensuring that organizational plans for conducting response testing are developed and performed,Test response plans Definition and enforcement of mechanisms for ensuring that organizational plans for conducting response testing are developed and performed
2551,OP1164,Execute response plan,Definition and enforcement of mechanisms to execute the defined Incident Response Plan (IRP).,Execute response plan Definition and enforcement of mechanisms to execute the defined Incident Response Plan (IRP).
2552,OP1165,Manage communication response,Definition and enforcement of communication mechanisms to ensure security incident response is communicated to all relevant stakeholders,Manage communication response Definition and enforcement of communication mechanisms to ensure security incident response is communicated to all relevant stakeholders
2553,OP1166,Analyze responses,"Definition and enforcement of mechanisms exist to conduct a Root Cause Analysis (RCA) and ""lessons learned"" activity every time a response plan is executed.","Analyze responses Definition and enforcement of mechanisms exist to conduct a Root Cause Analysis (RCA) and ""lessons learned"" activity every time a response plan is executed."
2554,OP1167,"Establish processes to receive, analyze and respond to vulnerabilities","Definition and enforcement of mechanisms to receive, analyze and paln response to identified vulnerabilities","Establish processes to receive, analyze and respond to vulnerabilities Definition and enforcement of mechanisms to receive, analyze and paln response to identified vulnerabilities"
2555,OP1168,Manage response mitigations,Definition and enforcement of communication mechanisms to ensure security incident mitigation actions is communicated to all relevant stakeholders,Manage response mitigations Definition and enforcement of communication mechanisms to ensure security incident mitigation actions is communicated to all relevant stakeholders
2556,OP1169,Manage response plans,"Definition and enforcement of mechanisms to define, maintain and make available an Incident Response Plan (IRP) to all relevant stakeholders.","Manage response plans Definition and enforcement of mechanisms to define, maintain and make available an Incident Response Plan (IRP) to all relevant stakeholders."
2557,OP1170,Manage recovery plans,Definition and enforcement of mechanisms to develop and implement a recovery/contingency plan (internal and external in coordination with external providers) to help ensure resilient assets and services.,Manage recovery plans Definition and enforcement of mechanisms to develop and implement a recovery/contingency plan (internal and external in coordination with external providers) to help ensure resilient assets and services.
2558,OP1171,Test recovery plans,Definition and enforcement of mechanisms to simulate events in order to test recovey plan as well as personnel response.,Test recovery plans Definition and enforcement of mechanisms to simulate events in order to test recovey plan as well as personnel response.
2559,OP1172,Execute recovery plans,"Definition and enforcement of mechanisms to ensure the recovery and reconstitution of systems to a known state after a disruption, compromise or failure and resume all missions and business functions within Recovery Time Objectives (RTOs) of the recovery plan's activation.","Execute recovery plans Definition and enforcement of mechanisms to ensure the recovery and reconstitution of systems to a known state after a disruption, compromise or failure and resume all missions and business functions within Recovery Time Objectives (RTOs) of the recovery plan's activation."
2560,OP1173,Manage recovery plans,"Definition and enforcement of mechanisms to define, maintain and make available a recovery plan after incident to all relevant stakeholders.","Manage recovery plans Definition and enforcement of mechanisms to define, maintain and make available a recovery plan after incident to all relevant stakeholders."
2561,OP1174,Manage recovery communications,Definition and enforcement of communication mechanisms to ensure continuity until full system restoration at primary processing and/or storage sites.,Manage recovery communications Definition and enforcement of communication mechanisms to ensure continuity until full system restoration at primary processing and/or storage sites.
2562,OP1175,Process to ...,,Process to ... 
2563,OP2532,Define appropriate level of transparency requirements in the context of the project,"Identify, define and document the level of transparency required based on the context and application domain of the project","Define appropriate level of transparency requirements in the context of the project Identify, define and document the level of transparency required based on the context and application domain of the project"
2564,OP2533,Validate adequacy of disclosure of AI system characteristics,"Validate the level of disclosure provided by the project regarding the application including, but not limited to, accessibility, fairness, performance and other ethical and non-ethical considerations","Validate adequacy of disclosure of AI system characteristics Validate the level of disclosure provided by the project regarding the application including, but not limited to, accessibility, fairness, performance and other ethical and non-ethical considerations"
2565,OP1176,Release AI / Analytics source code,Releasing custom source code developed in the context of the project,Release AI / Analytics source code Releasing custom source code developed in the context of the project
2566,OP1803,Document access rights to source code,"Determining and documenting the required level of access restrictions to the AI or analystics system source code, as per the context of the project","Document access rights to source code Determining and documenting the required level of access restrictions to the AI or analystics system source code, as per the context of the project"
2567,OP2615,Configure access rights to source code,"Establishing the required level of access restrictions to the AI or analystics system source code, as per the context of the project","Configure access rights to source code Establishing the required level of access restrictions to the AI or analystics system source code, as per the context of the project"
2568,OP1177,Publish documents & information as prescribed by law,,Publish documents & information as prescribed by law 
2569,OP1178,Record description of data subject rights,,Record description of data subject rights 
2570,OP1179,Record collected categories of PI,,Record collected categories of PI 
2571,OP1180,Record sold categories of PI,,Record sold categories of PI 
2572,OP1181,Record categories of PI disclosed for business purposes,,Record categories of PI disclosed for business purposes 
2573,OP1182,Record methods for submitting requests,,Record methods for submitting requests 
2574,OP1183,Update online privacy policy,,Update online privacy policy 
2575,OP1184,Define openness privacy policy  ,,Define openness privacy policy   
2576,OP1185,Record information prescribed by law in openness policy,,Record information prescribed by law in openness policy 
2577,OP1186,Demonstrate that openness policy is easily accessible for data subjects,,Demonstrate that openness policy is easily accessible for data subjects 
2578,OP1187,Update openness privacy policy periodically,,Update openness privacy policy periodically 
2579,OP1188,Establish list for the classification order of documents,,Establish list for the classification order of documents 
2580,OP1189,Classify documents in a manner that allows easy retrieval,,Classify documents in a manner that allows easy retrieval 
2581,OP1190,Provide access to classification order list upon request,,Provide access to classification order list upon request 
2582,OP1191,Periodically audit the precision of classification order list,,Periodically audit the precision of classification order list 
2583,OP1192,Identify information that cannot be released under legal framework,,Identify information that cannot be released under legal framework 
2584,OP1193,Assess whether document can be released without confidential information,,Assess whether document can be released without confidential information 
2585,OP1194,Delete confidential information from document prior to release,,Delete confidential information from document prior to release 
2586,OP1195,Release modified document to individual requesting access,,Release modified document to individual requesting access 
2587,OP1196,Create and publish a Policy for Explanation,Definition of a set of model explainability principles to guide the organization,Create and publish a Policy for Explanation Definition of a set of model explainability principles to guide the organization
2588,OP1465,Define explainability/interpretability strategy,Development of an organizational policy / positioning on what explanations to provide and when to provide them,Define explainability/interpretability strategy Development of an organizational policy / positioning on what explanations to provide and when to provide them
2589,OP2604,Draft explanations for common decision results,Explanations to frequent and common outcomes/decisions of the AI system are documented,Draft explanations for common decision results Explanations to frequent and common outcomes/decisions of the AI system are documented
2590,OP2653,Publish explanations for common decision results,Explanations to frequent and common outcomes/decisions of the AI system are published,Publish explanations for common decision results Explanations to frequent and common outcomes/decisions of the AI system are published
2591,OP2605,Implement mechanisms to communicate explanations for decisions,Detailed and meaningful explainations for decisions unfavorable to subjected individuals are produced and communicated,Implement mechanisms to communicate explanations for decisions Detailed and meaningful explainations for decisions unfavorable to subjected individuals are produced and communicated
2592,OP2534,Develop a user guide for the AI system,Develop a detailed user guide for explaining the use of the AI system and providing adequate disclosure,Develop a user guide for the AI system Develop a detailed user guide for explaining the use of the AI system and providing adequate disclosure
2593,OP2544,Perform a user evaluation of the developed user guide for the AI system,"User evaluation of the developed user guide for the AI system, and feedback is collected, analysed and communicated to intended stakeholders","Perform a user evaluation of the developed user guide for the AI system User evaluation of the developed user guide for the AI system, and feedback is collected, analysed and communicated to intended stakeholders"
2594,OP1197,Document explainability/interpretability requirements,"Defining and establishing an appropriate level of explainability/interpretability that the model is required to achieve, based on the context of the project","Document explainability/interpretability requirements Defining and establishing an appropriate level of explainability/interpretability that the model is required to achieve, based on the context of the project"
2595,OP2349,Approve the explainability/interpretability strategy,Approval and validation of suitability and completeness of the explainability/interpretability strategy,Approve the explainability/interpretability strategy Approval and validation of suitability and completeness of the explainability/interpretability strategy
2596,OP2235,Validate interpretability requirements against organizational guidelines,Validating and ensuring that the interpretability requirements established by the project are aligned with the organisational guidelines on interpretabilty,Validate interpretability requirements against organizational guidelines Validating and ensuring that the interpretability requirements established by the project are aligned with the organisational guidelines on interpretabilty
2597,OP2236,Validate produced explanations by appropriate stakeholders,Validating and ensuring that the produced interpretations are adequate and sound,Validate produced explanations by appropriate stakeholders Validating and ensuring that the produced interpretations are adequate and sound
2598,OP2350,Validate achieved explainability/interpretability levels,Validating and ensuring that the achieved explainability/interpretability level is sound and correct,Validate achieved explainability/interpretability levels Validating and ensuring that the achieved explainability/interpretability level is sound and correct
2599,OP2237,Document interpretability requirements and results,,Document interpretability requirements and results 
2600,OP2238,Audit stakeholder interaction with AI system periodically,"Auditing the end-users interactions with the AI system to check proper usage, alignment with the application context and identify opportunities for improvement","Audit stakeholder interaction with AI system periodically Auditing the end-users interactions with the AI system to check proper usage, alignment with the application context and identify opportunities for improvement"
2601,OP1198,Implement mechanisms to provide explanation,Establishment of a capability to manage right to explanation for an output of the model/algorithm requests,Implement mechanisms to provide explanation Establishment of a capability to manage right to explanation for an output of the model/algorithm requests
2602,OP1199,Communicate right to get an explanation,"Process, responsibilities and tools definition and enforcement for communicating right to get an explanation of model output and procedures to do so to data subjects","Communicate right to get an explanation Process, responsibilities and tools definition and enforcement for communicating right to get an explanation of model output and procedures to do so to data subjects"
2603,OP2616,Define documentation requirements for decisions made by automated decision systems,Defining and documenting the necessary information and details that should be recorded when documenting the decisions produced by the ADMS,Define documentation requirements for decisions made by automated decision systems Defining and documenting the necessary information and details that should be recorded when documenting the decisions produced by the ADMS
2604,OP1200,Assess the explainability requirements of projects,"Definition and enforcement of a explainability requirements management capability within projects, strategic initiatives, new products/services, model building","Assess the explainability requirements of projects Definition and enforcement of a explainability requirements management capability within projects, strategic initiatives, new products/services, model building"
2605,OP2373,Assess notification requirements for the automated decision system,"Evaluating and assessing the notifications the  automated decision system is required to rpovide to end-uers, as per the context of the project ","Assess notification requirements for the automated decision system Evaluating and assessing the notifications the  automated decision system is required to rpovide to end-uers, as per the context of the project "
2606,OP1806,Define enterprise requirements for notices,,Define enterprise requirements for notices 
2607,OP2293,Draft automated decision system notice,"Preparing a notice, appropriate for the context of the project, to inform individuals that the decision they are subjected to is taken in part or in whole by an automated decision making system","Draft automated decision system notice Preparing a notice, appropriate for the context of the project, to inform individuals that the decision they are subjected to is taken in part or in whole by an automated decision making system"
2608,OP2603,Approve the notice content by stakeholders,"The content of the notice, informing individuals that they are subjected to an automated decision making system, is validated and approved","Approve the notice content by stakeholders The content of the notice, informing individuals that they are subjected to an automated decision making system, is validated and approved"
2609,OP1202,Publish automated decision system notice,Notice is communicated through appropriate channels to individuals that are affected by or are the subject of decisions produced by the Automated Decision System,Publish automated decision system notice Notice is communicated through appropriate channels to individuals that are affected by or are the subject of decisions produced by the Automated Decision System
2610,OP2294,Draft documentation regarding the automated decision system (for public publication),"Documenting the necessary information about the automated decision system, with an adequate level of detail, in a suitable format to be published publicly","Draft documentation regarding the automated decision system (for public publication) Documenting the necessary information about the automated decision system, with an adequate level of detail, in a suitable format to be published publicly"
2611,OP2295,Publish automated decision system documentation,The produced documentation about the automated decision system is published on an easily accessible public medium,Publish automated decision system documentation The produced documentation about the automated decision system is published on an easily accessible public medium
2612,OP2409,Define disclaimers adequate to the context of the project,"Identification of disclaimers applicable to the context of the project, and developing their content","Define disclaimers adequate to the context of the project Identification of disclaimers applicable to the context of the project, and developing their content"
2613,OP2410,Communicate disclaimers to end-user stakeholders,"Communication of the disclaimers to end-users, and ensuring that they have at least read them prior to their access and use of the AI system","Communicate disclaimers to end-user stakeholders Communication of the disclaimers to end-users, and ensuring that they have at least read them prior to their access and use of the AI system"
2614,OP2441,Communicate AI system function and intended use to affected stakeholders,"Describing and communicating the details of the AI system, its function, application and intended use to affected stakeholders, as well as informing them about their options and rights (opt-out, contest, etc.)","Communicate AI system function and intended use to affected stakeholders Describing and communicating the details of the AI system, its function, application and intended use to affected stakeholders, as well as informing them about their options and rights (opt-out, contest, etc.)"
